deploymentID,locationName,deploymentStart,deploymentEnd,first_obs,last_obs,n_obs,issue
2639,10,2022-10-11T02:00:00Z,2024-12-31T23:00:00Z,2024-05-16,2025-05-16,63,Obs extend past deploymentEnd
2644,16,2022-10-20T02:00:00Z,2024-12-31T23:00:00Z,2024-05-19,2025-03-14,424,Obs extend past deploymentEnd
2701,140,2022-10-20T02:00:00Z,2024-12-31T23:00:00Z,2024-05-19,2025-05-25,230,Obs extend past deploymentEnd
3105,16,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2025-03-16,2025-05-04,116,Start = 2025-01-01 (obs only in 2025)
3142,92,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2025-07-07,2025-07-07,1,Start = 2025-01-01 (obs only in 2025)
3151,149,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2025-05-22,2025-05-22,1,Start = 2025-01-01 (obs only in 2025)
3104,14,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-18,2024-10-04,14,Start = 2025-01-01 but obs in 2024
3106,21,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-21,2025-05-21,47,Start = 2025-01-01 but obs in 2024
3107,24,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-19,2025-05-23,49,Start = 2025-01-01 but obs in 2024
3108,25,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-19,2025-05-27,155,Start = 2025-01-01 but obs in 2024
3109,30,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-25,2025-05-23,28,Start = 2025-01-01 but obs in 2024
3110,32,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-15,2025-02-28,8,Start = 2025-01-01 but obs in 2024
3111,37,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-13,2025-05-25,64,Start = 2025-01-01 but obs in 2024
3112,40,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-19,2025-05-24,73,Start = 2025-01-01 but obs in 2024
3113,46,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-18,2025-05-23,19,Start = 2025-01-01 but obs in 2024
3115,47,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-18,2025-05-23,66,Start = 2025-01-01 but obs in 2024
3116,55,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-01,2025-05-13,30,Start = 2025-01-01 but obs in 2024
3117,56,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-24,2025-05-26,51,Start = 2025-01-01 but obs in 2024
3118,58,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-20,2025-01-02,52,Start = 2025-01-01 but obs in 2024
3119,89,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-19,2025-05-27,174,Start = 2025-01-01 but obs in 2024
3120,97,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-21,2025-05-22,65,Start = 2025-01-01 but obs in 2024
3121,98,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-30,2025-05-01,12,Start = 2025-01-01 but obs in 2024
3122,112,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-11,2025-05-14,47,Start = 2025-01-01 but obs in 2024
3123,139,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-04,2025-05-17,27,Start = 2025-01-01 but obs in 2024
3125,146,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-19,2025-05-21,84,Start = 2025-01-01 but obs in 2024
3127,12,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-07-09,2025-03-19,16,Start = 2025-01-01 but obs in 2024
3128,64,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-01,2024-06-09,40,Start = 2025-01-01 but obs in 2024
3129,2,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-24,2025-05-25,71,Start = 2025-01-01 but obs in 2024
3130,5,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-18,2025-05-24,100,Start = 2025-01-01 but obs in 2024
3131,15,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-27,2024-07-19,7,Start = 2025-01-01 but obs in 2024
3132,18,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-19,2025-04-24,93,Start = 2025-01-01 but obs in 2024
3133,20,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-17,2025-05-27,136,Start = 2025-01-01 but obs in 2024
3134,29,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-18,2025-05-23,114,Start = 2025-01-01 but obs in 2024
3135,33,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-25,2025-05-21,152,Start = 2025-01-01 but obs in 2024
3136,42,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-04,2025-05-11,56,Start = 2025-01-01 but obs in 2024
3138,52,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-15,2025-05-17,39,Start = 2025-01-01 but obs in 2024
3139,60,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-26,2025-05-21,47,Start = 2025-01-01 but obs in 2024
3140,68,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-23,2025-05-28,201,Start = 2025-01-01 but obs in 2024
3141,71,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-24,2025-05-27,95,Start = 2025-01-01 but obs in 2024
3143,95,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-21,2025-05-09,27,Start = 2025-01-01 but obs in 2024
3144,113,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-25,2025-05-25,20,Start = 2025-01-01 but obs in 2024
3145,115,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-05-25,2025-05-26,97,Start = 2025-01-01 but obs in 2024
3146,116,2025-01-01T01:00:00Z,2025-12-27T13:06:06Z,2024-06-20,2025-05-27,24,Start = 2025-01-01 but obs in 2024
