dataset_name,start_date,end_date,duration_days,stations,mean_active_deployments,temporal_coverage_pct,longest_zero_effort_gap_days,trap_days_total,array_diameter_km,median_nn_dist_km,mean_active_cam_dist_km,centroid_lat,centroid_lon,n_obs_all,n_spp_all,n_obs_filtered,n_spp_filtered,n_slices,n_obs_no_timestamp,n_dep_no_coords,n_dep_bad_dates,provider,country,target,bait,trail,height,spacing
BE-Leuven,2018-03-26,2025-07-29,2683,396,31.856503913529632,100,0,85471,13.888027376460698,0.07040986416895538,0.838092191816376,50.80813842206131,4.657051227733738,243626,83,72582,18,5,0,0,0,Jim Caesar,Belgium,NA,NA,NA,NA,NA
FR-montpellier,2023-07-21,2024-10-14,452,48,40.79867256637168,100,0,18441,15.597834567656982,0.16923746976926712,0.5388440316942892,43.624056252252444,3.867054497492566,21113,14,17195,9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
GE-Berchtesgaden_NP,2019-08-07,2020-11-24,476,50,43.63025210084034,100,0,20768,21.927784687999587,1.008034314331837,1.3371222543822114,47.543945801658786,12.909137746505005,54986,24,31383,9,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-BFNP_201819,2018-05-09,2019-08-14,463,108,99.16630669546436,100,0,45914,35.35594610170205,0.9943268141366302,1.0970671817103865,49.01632339652697,13.412126635046876,318247,35,80686,11,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-BFNP_201920,2019-08-22,2020-11-01,438,99,76.59132420091325,100,0,33547,37.48386952370752,1.3881812135044067,1.3931159373715682,48.76982967305708,13.722018606771242,95250,26,50924,13,1,0,0,1,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-Black_Forest_NP,2019-08-27,2021-04-18,601,60,43.02329450915141,100,0,25857,21.175573165250285,1.1816369724284002,1.2236562896462249,48.449238150991334,8.208276265691447,37467,19,20841,8,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-Eifel_NP,2019-09-05,2020-10-08,400,60,52.1225,100,0,20849,22.825553159536106,0.996325764241248,1.115670932886815,50.58189555708338,6.406994454264099,106652,28,55751,11,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-Hainich_NP,2019-09-04,2020-10-15,408,69,63.5,100,0,25908,12.209884398339957,0.9912931680898984,0.9986836206216437,50.908844632100305,10.035698096342772,293620,30,245656,13,1,0,1,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-Harz_NP,2019-09-16,2020-12-16,458,60,49.8296943231441,100,0,22822,21.930615226015806,1.2080032855294798,1.2725371258788496,51.740659464909804,10.520054580981618,87192,23,51416,12,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
GE-Hunsrueck_Hochwald_NP,2019-07-10,2020-10-31,480,60,52.97708333333333,100,0,25429,26.87872059837143,0.998141151556786,1.0973333243546208,49.69586098888404,7.10326502099519,80609,23,54169,11,1,0,0,0,Maik Henrich,Germany,NA,NA,NA,NA,NA
