base_dataset,species,n_years,mean_lambda,sd_lambda,cv,min_lambda,max_lambda
BE-Leuven,Martes foina,5,4.215775755715974e-4,2.942420921350619e-4,69.79547992706034,1.789142336498505e-4,9.110953624814479e-4
BE-Leuven,Sciurus vulgaris,5,5.237223301380898e-4,2.2704225332856947e-4,43.35164652397106,3.384387278247895e-4,9.004872214752823e-4
BE-Leuven,Erinaceus europaeus,3,1.3555853700317747e-4,4.486647514830847e-5,33.097491416019636,8.813737807693772e-5,1.7733637571619508e-4
BE-Leuven,Vulpes vulpes,5,0.0023036366684997386,6.402875411046906e-4,27.794640963137766,0.001865006210698121,0.003429470236799839
BE-Leuven,Dama dama,2,1.1710995794249275e-4,3.239514183502624e-5,27.66215820087134,9.420313347344568e-5,1.4001678241153982e-4
BE-Leuven,Lepus europaeus,5,2.640379533862307e-4,7.161015161182805e-5,27.121158414327585,1.7553681938701528e-4,3.7403726383644696e-4
BE-Leuven,Sus scrofa,5,0.002717681655627042,6.247619159705261e-4,22.988782173104703,0.0018674314086750202,0.003445762519135316
BE-Leuven,Capreolus capreolus,5,0.0045344894132630376,4.747405892846893e-4,10.469548961700276,0.0040760541013585075,0.005308588995696743
NO-evenstadlia,Cervus elaphus,2,5.939885137397864e-4,5.150695262213326e-4,86.71371824657429,2.2977935896613985e-4,9.58197668513433e-4
NO-evenstadlia,Gulo gulo,2,0.0010610198551249395,5.713282267569068e-4,53.847081559998756,6.570297917018452e-4,0.0014650099185480338
NO-evenstadlia,Alces alces,2,0.0031692387806940272,0.001043811471464306,32.93571559905382,0.002431152610941308,0.003907324950446747
NO-evenstadlia,Lepus timidus,2,0.0023475869608638902,3.6842613563810474e-4,15.693822711578163,0.0020870703419878316,0.002608103579739949
NO-evenstadlia,Vulpes vulpes,2,0.001591900249143625,2.0039370879219257e-4,12.58833327653513,0.0014502004987495434,0.0017335999995377067
NO-evenstadlia,Meles meles,2,5.415447114331846e-4,3.738485807899874e-5,6.90337423479968,5.151096247718279e-4,5.679797980945413e-4
SI-serknica,Sciurus vulgaris,2,9.694103907089645e-4,6.367581658395133e-4,65.6850980701609,5.191543736679364e-4,0.0014196664077499926
SI-serknica,Cervus elaphus,2,0.006351393035266248,0.0028728272409399708,45.23145119485655,0.004319997412020155,0.00838278865851234
SI-serknica,Canis lupus,2,0.0010208003741357418,3.470104089081595e-4,33.99395393070413,7.754269608544655e-4,0.001266173787417018
SI-serknica,Lepus europaeus,2,5.255198312204971e-4,1.463990032699575e-4,27.857940761236765,4.2200010324935856e-4,6.290395591916356e-4
SI-serknica,Capreolus capreolus,2,0.0037806446539762877,6.088481315446224e-4,16.1043469373475,0.003350124011448326,0.004211165296504249
SI-serknica,Meles meles,2,0.001102401983406282,1.5759188924827983e-4,14.295319821662597,9.90967689858824e-4,0.0012138362769537401
SI-serknica,Rupicapra rupicapra,2,6.659794603987353e-4,8.670439721016529e-5,13.019079771357156,6.046701931727355e-4,7.272887276247352e-4
SI-serknica,Sus scrofa,2,0.0014179265721131964,1.5945189004748625e-4,11.245426468723856,0.001305177059387607,0.0015306760848387856
SI-serknica,Vulpes vulpes,2,0.0020184183102263283,1.3655763955410256e-4,6.765576732148756,0.0019218574772747938,0.0021149791431778623
SI-serknica,Ursus arctos,2,0.0013462472539049325,5.132648676699864e-5,3.8125601829917004,0.0013099539470575062,0.0013825405607523589
SP-donana,Herpestes ichneumon,3,2.4027800316171993e-4,1.2075933428142348e-4,50.25817290488551,1.6608878840886272e-4,3.7962126396135214e-4
SP-donana,Oryctolagus cuniculus,4,1.6775722894100362e-4,6.438253104979849e-5,38.37839445502546,1.1601718438345642e-4,2.618796039447599e-4
SP-donana,Meles meles,3,3.3375422935690734e-4,8.569630356844684e-5,25.676469698547443,2.7092921405331505e-4,4.313756452792145e-4
SP-donana,Sus scrofa,4,0.0028586230607461315,4.2154762575283684e-4,14.74652714943146,0.002303519194419756,0.00330808124352994
SP-donana,Bos taurus,4,8.326444591903718e-4,1.227167454564367e-4,14.738192766665529,6.819372239319904e-4,9.823717820233633e-4
SP-donana,Vulpes vulpes,4,0.0016335394460314247,2.167693901221293e-4,13.26992076308632,0.001335074044240706,0.0018194148434736274
SP-donana,Dama dama,4,0.0029136852197554778,3.6996781265014235e-4,12.697590327934972,0.002440930107235882,0.003336516339134097
SP-donana,Lepus granatensis,4,2.56096666319404e-4,2.53299790789452e-5,9.890788288260508,2.318017487025582e-4,2.800398840371491e-4
SP-donana,Cervus elaphus,4,0.0054305129279723745,5.226111856916922e-4,9.623606326388453,0.004686109593180627,0.0058788334152344475
