metric,term,beta_baseline,beta_weighted,pct_change,sign_stable,p_baseline,p_weighted
abs_d_lambda,l_trapdays,0.8194,0.9799,19.6,TRUE,0,0
abs_d_lambda,l_nsites,-1.2121,-1.3692,-13,TRUE,0,0
abs_d_lambda,s_latitude,-0.4557,-0.4829,-6,TRUE,6.05422516630353e-11,6.516006058867065e-11
abs_d_lambda,s_trap_array,-0.1339,-0.1363,-1.8,TRUE,0.03464498002073007,0.04276568870563797
abs_d_rate,l_trapdays,-0.7041,-0.6532,7.2,TRUE,0,0
abs_d_rate,l_nsites,-0.126,-0.1171,7.1,TRUE,9.234625526139276e-126,4.8989419550275036e-104
abs_d_rate,s_latitude,-0.2693,-0.2789,-3.6,TRUE,6.172505784591035e-5,3.1390665215901795e-5
abs_d_rate,s_trap_array,0.0156,-0.0082,-152.5,FALSE,0.7993236499205136,0.8934570097672099
abs_d_matched_rate,l_trapdays,0.384,0.4297,11.9,TRUE,0,0
abs_d_matched_rate,l_nsites,-0.97,-1.0933,-12.7,TRUE,0,0
abs_d_matched_rate,s_latitude,-0.3976,-0.4107,-3.3,TRUE,6.443744357679107e-11,5.834043994691131e-11
abs_d_matched_rate,s_trap_array,0.0043,0.0295,590.5,TRUE,0.9385584552760776,0.6055825377431245
d_sr_raref,l_trapdays,0.0171,0.0862,404.3,TRUE,0.38884723030353396,2.0819634473229687e-5
d_sr_raref,l_nsites,0.3979,0.3741,-6,TRUE,1.977573587312567e-253,1.8966450482105957e-214
d_sr_raref,s_latitude,-0.0366,-0.0386,-5.5,TRUE,0.5271823947840042,0.5184643653727978
prop_sr_full,l_trapdays,1.529,1.6974,11,TRUE,0,0
prop_sr_full,l_nsites,0.4997,0.7697,54,TRUE,7.87252763848689e-284,0
prop_sr_full,s_latitude,-0.2031,-0.1706,16,TRUE,0.34764953867358717,0.5037595309075575
rho_lambda,l_trapdays,0.917,1.2138,32.4,TRUE,6.968022268295214e-83,2.3995335190856438e-104
rho_lambda,l_nsites,0.2269,0.4377,92.9,TRUE,1.0654381942725987e-21,2.8848832061457525e-51
rho_lambda,s_latitude,-0.0951,-0.0919,3.4,TRUE,0.3586506502782928,0.5112483999081369
