base_dataset,r_lambda,r_matched,r_rate,mean_r
SE-grimso-high,0.8384465436181427,0.8758937168142997,0.8438311992300614,0.8527238198875012
SE-grimso-low,0.8415656196243329,0.8747123058360384,0.7903606396408527,0.8355461883670747
GE-Hunsrueck_Hochwald_NP,0.8294587786476166,0.8679483416147405,0.7245482917867464,0.8073184706830344
SE-Jarnashalvon,0.8676192606880491,0.8910523047237359,0.6130141492078003,0.790561904873195
GE-BFNP_201920,0.835797405541139,0.8319652772760169,0.7008340027398176,0.7895322285189912
NO-nina,0.6900840021941459,0.8184107056655205,0.7651313518630412,0.7578753532409026
GE-Langenau,0.8047943000793024,0.7921961068181852,0.5807550703668162,0.7259151590881013
GE-BFNP_201819,0.6932068072276741,0.7282211719201754,0.6680830395148235,0.6965036728875577
SI-serknica,0.767997654751085,0.6816553083896306,0.6201825235472841,0.6899451622293332
GE-Kellerwald_Edersee_NP,0.8124470527896488,0.861820240460775,0.3632669781066146,0.6791780904523462
BE-Leuven,0.8344842310889382,0.7573239344711933,0.4364341428221377,0.6760807694607563
SP-donana,0.777215663154604,0.6979388108698246,0.5301731889425215,0.6684425543223167
SI-sinji,0.826329769514285,0.5073554490131664,0.6693344426175802,0.6676732203816772
GE-Harz_NP,0.6931498354976513,0.7357271327398138,0.5397596966642436,0.6562122216339029
GE-Black_Forest_NP,0.685751763486515,0.7120491325727958,0.504059815710598,0.6339535705899696
GE-Hainich_NP,0.6278070211331498,0.6740473706449581,0.5893642040968187,0.6304061986249755
GE-Mueritz_NP,0.6502397243181562,0.7363460486464891,0.49484520914490593,0.6271436607031838
GE-Eifel_NP,0.7479193133168118,0.44186775829497854,0.6541505117760621,0.6146458611292842
SI-vrhe,0.650170861507975,0.6580381600671946,0.5330797475037405,0.6137629230263034
NO-gravberget,0.7703844970956859,0.7362408013345437,0.3009264094817655,0.602517235970665
SI-zabnik,0.6764873852964454,0.461486098520092,0.5469824985040144,0.5616519941068506
IT-Alps,0.790620340935357,0.404703373615127,0.21775310143357082,0.47102560532801824
SI-rizana,0.6016265752673102,0.5529189683587509,0.20621170669263486,0.453585750106232
NO-evenstadlia,0.662680160764497,0.6673840457770651,0.008758801095866542,0.44627433587914295
PL-kampinos_NP,0.5792010158410483,0.6232224462843158,0.09357474611904704,0.4319994027481371
FR-montpellier,0.35883909839877803,0.2892185089584,0.14980080677164231,0.26595280470960675
GE-Berchtesgaden_NP,0.10224293563038409,0.11059898647204963,0.19411068693188221,0.13565086967810533
