species,n_obs,n_ds,r,metric
Sciurus vulgaris,11922,12,0.7691598860115721,abs_d_lambda
Ursus arctos,2338,2,0.7640267846653886,abs_d_lambda
Alces alces,7247,7,0.7355257104410362,abs_d_lambda
Vulpes vulpes,34656,25,0.6560511189460615,abs_d_lambda
Meles meles,14995,17,0.6439428268617252,abs_d_lambda
Dama dama,10055,7,0.5785549422410876,abs_d_lambda
Sus scrofa,30201,21,0.5558254812049133,abs_d_lambda
Lepus europaeus,10094,12,0.555227040565245,abs_d_lambda
Procyon lotor,2496,2,0.5533332797536826,abs_d_lambda
Canis aureus,1057,3,0.5111979969082054,abs_d_lambda
Capreolus capreolus,36821,26,0.49776919309225326,abs_d_lambda
Cervus elaphus,29003,21,0.46657044830811756,abs_d_lambda
Bos taurus,4287,3,0.45768975523206096,abs_d_lambda
Lepus timidus,3835,5,0.3930185275120571,abs_d_lambda
Martes martes,856,5,0.3662442563022616,abs_d_lambda
Rupicapra rupicapra,3414,3,0.07569244519254488,abs_d_lambda
Canis lupus,2972,4,-0.04882692061179039,abs_d_lambda
Felis silvestris,798,3,-0.23601508050996142,abs_d_lambda
Alces alces,7247,7,0.751611311056495,abs_d_matched_rate
Bos taurus,4287,3,0.7269150440478246,abs_d_matched_rate
Canis aureus,1057,3,0.4007204591360939,abs_d_matched_rate
Canis lupus,2972,4,0.03768235885115161,abs_d_matched_rate
Capreolus capreolus,36821,26,0.4466670682143539,abs_d_matched_rate
Cervus elaphus,29003,21,0.4273684398172842,abs_d_matched_rate
Dama dama,10055,7,0.7024876871928738,abs_d_matched_rate
Felis silvestris,798,3,-0.22352860969867572,abs_d_matched_rate
Lepus europaeus,10094,12,0.7118697614614962,abs_d_matched_rate
Lepus timidus,3835,5,0.5167276214162788,abs_d_matched_rate
Martes martes,856,5,-0.10853870173425856,abs_d_matched_rate
Meles meles,14995,17,0.7839450558305665,abs_d_matched_rate
Procyon lotor,2496,2,0.31144979068066775,abs_d_matched_rate
Rupicapra rupicapra,3414,3,0.18268632061732099,abs_d_matched_rate
Sciurus vulgaris,11922,12,0.8220468553810115,abs_d_matched_rate
Sus scrofa,30201,21,0.5444184326684893,abs_d_matched_rate
Ursus arctos,2338,2,0.7602713856363824,abs_d_matched_rate
Vulpes vulpes,34656,25,0.545796513555144,abs_d_matched_rate
Alces alces,7247,7,0.2596935812716472,abs_d_rate
Bos taurus,4287,3,0.292615680736303,abs_d_rate
Canis aureus,1057,3,0.7804105185321201,abs_d_rate
Canis lupus,2972,4,0.45587906013634955,abs_d_rate
Capreolus capreolus,36821,26,0.2676818488272473,abs_d_rate
Cervus elaphus,29003,21,0.321806271600416,abs_d_rate
Dama dama,10055,7,0.12960655561348733,abs_d_rate
Felis silvestris,798,3,0.22857686592766135,abs_d_rate
Lepus europaeus,10094,12,0.4965047126608492,abs_d_rate
Lepus timidus,3835,5,0.0012624542564381642,abs_d_rate
Martes martes,856,5,0.5330717331750642,abs_d_rate
Meles meles,14995,17,0.5705085968061895,abs_d_rate
Procyon lotor,2496,2,0.04378353643321841,abs_d_rate
Rupicapra rupicapra,3414,3,-0.3337379563335729,abs_d_rate
Sciurus vulgaris,11922,12,0.4107306006056432,abs_d_rate
Sus scrofa,30201,21,0.20162724008807723,abs_d_rate
Ursus arctos,2338,2,0.39671555869202685,abs_d_rate
Vulpes vulpes,34656,25,0.36409357807511167,abs_d_rate
