"dataset","units_ref"
"NO-evenstadlia_slice2",20
"SI-abnik",20
"SI-serknica_slice1",30
"SI-senji",45
"SI-eow",60
"PL-kampinos_NP",72
"SE-Jarnashalvon",139
"IT-Alps",206
"BE-Leuven_slice1",243
"NO-evenstadlia_slice1",284
"GE-Langenau",375
"SP-donana_slice1",420
"BE-Leuven_slice3",435
"BE-Leuven_slice2",443
"BE-Leuven_slice4",450
"BE-Leuven_slice5",450
"SE-grimso-high",460
"SE-grimso-low",465
"SP-donana_slice2",479
"SI-serknica_slice2",506
"GE-Eifel_NP",564
"FR-montpellier",600
"GE-Mueritz_NP",603
"GE-Berchtesgaden_NP",720
"SP-donana_slice4",729
"NO-gravberget",750
"GE-Harz_NP",765
"GE-Hunsrueck_Hochwald_NP",770
"SP-donana_slice3",780
"GE-Kellerwald_Edersee_NP",806
"GE-Black_Forest_NP",825
"GE-Hainich_NP",945
"NO-nina",1095
"GE-BFNP_201920",1096
"GE-BFNP_201819",1553
